area,total_coverage_radius,proportion_of_pois_covered,objective_value
Tampines,19250.0,99.40239043824701,3720.0
Bishan,13450.0,95.70552147239265,1584.0
Jurong West,38250.0,95.59902200488997,7526.0
Jurong East,28050.0,94.93433395872421,2984.0
Boon Lay,34100.0,96.98996655518395,5571.0
Woodlands,55550.0,99.75,11353.0
Punggol,31900.0,97.87644787644788,5708.0
Seng Kang,69300.0,100.0,12686.0
Hougang,29150.0,97.57942511346445,4547.0
Queenstown,8450.0,99.31506849315068,733.0
Clementi,16500.0,100.0,1772.0
Orchard Road,3550.0,100.0,56.0
Downtown Core,4950.0,100.0,60.0
Marina Bay,1100.0,100.0,4.0
